1018;TELUKWONDAMA;1
732;TEMANGGUNG;1
821;TIMOR TENGAH SELATAN;1
822;TIMOR TENGAH UTARA;1
552;TOBASAMOSIR;1
905;TOJOUNAUNA;1
996;TOLIKARA;1
906;TOLITOLI;1
928;TORAJA UTARA;1
767;TRENGGALEK;1
769;TUBAN;1
642;TULANGBAWANG;1
643;TULANGBAWANG BARAT;1
768;TULUNGAGUNG;1
929;WAJO;1
943;WAKATOBI;1
999;WAROPEN;1
644;WAYKANAN;1
733;WONOGIRI;1
734;WONOSOBO;1
997;YAHUKIMO;1
1001;YALIMO;1
998;YAPEN WAROPEN;1
